date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:33:07	107/107	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2019:33:08%20GMT	https://jbnutricionista.site.pro/robots.txt		(from )
16:33:07	29724/29724	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2019:33:08%20GMT	https://jbnutricionista.site.pro/	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/index.html	(from )
16:33:08	171848/171848	---M-Z	200	added ('OK')	application/javascript	etag:%2229f48-635a7eefce5b3-gzip%22	https://jbnutricionista.site.pro/js/common-bundle.js?ts=20250521193403	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/js/common-bundlef5f6.js	(from https://jbnutricionista.site.pro/)
16:33:08	0/0	---M--	200	added ('OK')	application/javascript	etag:%220-635a7eefcd613%22	https://jbnutricionista.site.pro/js/a188dd9af9fa009e3c469ea67dd41f50-bundle.js?ts=20250521193403	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/js/a188dd9af9fa009e3c469ea67dd41f50-bundle.1f5f6.delayed	(from https://jbnutricionista.site.pro/)
16:33:09	361308/361308	---M-Z	200	added ('OK')	text/css	etag:%225835c-635a7eefd33d3-gzip%22	https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/css/common-bundlef5f6.css	(from https://jbnutricionista.site.pro/)
16:33:09	43899/43899	---M-Z	200	added ('OK')	text/css	etag:%22ab7b-635a7eefd4373-gzip%22	https://jbnutricionista.site.pro/css/a188dd9af9fa009e3c469ea67dd41f50-bundle.css?ts=20250521193403	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/css/a188dd9af9fa009e3c469ea67dd41f50-bundlef5f6.css	(from https://jbnutricionista.site.pro/)
16:33:10	30953/30953	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2019:33:10%20GMT	https://jbnutricionista.site.pro/Contate-nos/	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/Contate-nos/index.html	(from https://jbnutricionista.site.pro/)
16:33:10	31945/31945	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2019:33:10%20GMT	https://jbnutricionista.site.pro/Blogue/	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/Blogue/index.html	(from https://jbnutricionista.site.pro/)
16:33:10	27661/27661	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2019:33:10%20GMT	https://jbnutricionista.site.pro/Sobre/	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/Sobre/index.html	(from https://jbnutricionista.site.pro/)
16:33:10	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-6359263a45a23%22	https://jbnutricionista.site.pro/fonts/glyphicons-halflings-regular.eot	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/fonts/glyphicons-halflings-regular.eot	(from https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403)
16:33:10	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-6359263a45a23%22	https://jbnutricionista.site.pro/fonts/glyphicons-halflings-regular.eot?	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/fonts/glyphicons-halflings-regulard41d.eot	(from https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403)
16:33:10	18028/18028	---M--	200	added ('OK')	font/woff2	etag:%22466c-6359263a45a23%22	https://jbnutricionista.site.pro/fonts/glyphicons-halflings-regular.woff2	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/fonts/glyphicons-halflings-regular.woff2	(from https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403)
16:33:11	23424/23424	---M--	200	added ('OK')	font/woff	etag:%225b80-6359263a45a23%22	https://jbnutricionista.site.pro/fonts/glyphicons-halflings-regular.woff	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/fonts/glyphicons-halflings-regular.woff	(from https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403)
16:33:11	45404/45404	---M--	200	added ('OK')	font/ttf	etag:%22b15c-6359263a45a23%22	https://jbnutricionista.site.pro/fonts/glyphicons-halflings-regular.ttf	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/fonts/glyphicons-halflings-regular.ttf	(from https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403)
